source_id,area1,action,location,site,plot,area2,transition,survival,log_size,log_size_next,id,period
M08_69_2022,6.44,same,Maguey,8,69,6.37,t2,1,1.8625285401162623,1.851599469584072,2,2023
M08_69_2022,20.12,shrink,Maguey,8,69,17.54,t2,1,3.0017143452315387,2.864483986944037,3,2023
M08_70_2022,123.14,dead,Maguey,8,70,0,t2,0,4.813321919483064,NA,4,2023
M08_71_2022,72.15,grow,Maguey,8,71,82.77,t2,1,4.27874728521988,4.416065676897304,5,2023
M08_72_2022,106.87,same,Maguey,8,72,102.16,t2,1,4.671613142536805,4.626540211724284,6,2023
M08_72_2022,111.44,same,Maguey,8,72,111.69,t2,1,4.71348632947155,4.715727176552735,7,2023
M08_72_2022,81.47,shrink,Maguey,8,72,77.02,t2,1,4.400234854322551,4.344065128386763,8,2023
M10_81_2022,229.22,dead,Maguey,10,81,0,t2,0,5.434682241068553,NA,9,2023
M10_81_2022,64.63,grow,Maguey,10,81,77.38,t2,1,4.168678699274804,4.348728349272367,10,2023
M10_81_2022,235.16,same,Maguey,10,81,245.41,t2,1,5.460266133534054,5.502930281242811,11,2023
M10_81_2022,33.94,shrink,Maguey,10,81,28.15,t2,1,3.52459425980608,3.3375473545856993,12,2023
M10_82_2022,72.79,grow,Maguey,10,82,94.21,t2,1,4.287578583130166,4.545526333060576,13,2023
M10_82_2022,82.5,shrink,Maguey,10,82,75.78,t2,1,4.412798293340635,4.327834405590455,14,2023
M10_83_2022,79.46,same,Maguey,10,83,79.36,t2,1,4.375253750386452,4.373994462976618,15,2023
M10_84_2022,52.79,same,Maguey,10,84,52.33,t2,1,3.9663217788355247,3.9575698203841165,16,2023
M15_64_2022,17.05,dead,Maguey,15,64,0,t2,0,2.8361502037295256,NA,17,2023
M15_64_2022,22.49,dead,Maguey,15,64,0,t2,0,3.1130707659712242,NA,18,2023
M15_64_2022,211.72,dead,Maguey,15,64,0,t2,0,5.355264646989787,NA,19,2023
M15_64_2022,39.67,grow,Maguey,15,64,43.57,t2,1,3.6805952345262387,3.774368840129351,20,2023
M15_64_2022,85.5,grow,Maguey,15,64,92.85,t2,1,4.448516375942715,4.530985287798715,21,2023
M15_64_2022,492.55,grow,Maguey,15,64,524.38,t2,1,6.199595978301688,6.262216612336917,22,2023
M15_64_2022,116.51,grow,Maguey,15,64,134.65,t2,1,4.757977106231849,4.902678819257608,23,2023
M28_74_2022,86.64,same,Maguey,28,74,87.63,t2,1,4.461761602692735,4.473123405067759,24,2023
M28_74_2022,51.77,shrink,Maguey,28,74,38.84,t2,1,3.94681083091381,3.659450643423124,25,2023
M28_76_2022,163.27,dead,Maguey,28,76,0,t2,0,5.095405272138073,NA,26,2023
M28_76_2022,154.61,grow,Maguey,28,76,171.35,t2,1,5.040905817114504,5.143708248320618,27,2023
M28_76_2022,87.94,grow,Maguey,28,76,96.22,t2,1,4.476654763752664,4.5666372362713075,28,2023
M28_76_2022,100.27,same,Maguey,28,76,101.45,t2,1,4.607866547535834,4.619566066271823,29,2023
M38_57_2022,24.87,shrink,Maguey,38,57,9.39,t2,1,3.2136622578153133,2.2396452932201716,30,2023
M38_58_2022,60.37,shrink,Maguey,38,58,57.05,t2,1,4.100492292808335,4.0439280763080845,31,2023
M38_59_2022,134.07,grow,Maguey,38,59,149.56,t2,1,4.89836205161347,5.007697650108913,32,2023
M38_60_2022,6.22,grow,Maguey,38,60,14.18,t2,1,1.827769906751088,2.6518325211039815,33,2023
